ORDER_ID,ORDER_DATE,REGION,CATEGORY,PRODUCT_NAME,UNIT_PRICE,QUANTITY,PAYMENT_METHOD,CUSTOMER_ID,CUSTOMER_SEGMENT,STORE_ID,DELIVERY_DAYS,TOTAL_PRICE,PROMISED_DELIVERY_DATE,ACTUAL_DELIVERY_DATE,DELIVERY_STATUS
ORD100013,1/5/2019,North,Toy,Barbie Dreamhouse,1825,4,Card,7712,Premiun,19,1,7300,1/6/2019,1/7/2019,Late
ORD100014,1/5/2019,South,Clothing,Adidas Hoodie,1086,1,Wallet,3023,Regular,16,6,1086,1/11/2019,1/12/2019,Late
ORD100015,1/6/2019,South,Furniture,Sleepwell Mattress,439,3,Card,7176,Premiun,4,Five,1317,1/11/2019,1/13/2019,Late
ORD100016,1/6/2019,South,Books,Rich Dad Poor Dad,964,3,Card,5507,Premiun,8,7,2892,1/13/2019,1/15/2019,Late
ORD100017,1/6/2019,East,Books,Atomic Habits,1997,2,Card,4185,Regular,4,Five,3994,1/11/2019,1/13/2019,Late
ORD100018,1/7/2019,North,Clothing,Zara T-Shirt,1987,1,Wallet,8723,Regular,13,1,1987,1/8/2019,1/9/2019,Late
ORD100019,1/7/2019,North,Furniture,Godrej Office Chair,1899,3,upi,1195,Premiun,7,3,5697,1/10/2019,1/12/2019,Late
ORD100020,1/7/2019,South,Toy,LEGO Classic,411,4,Card,2106,New,1,Five,1644,1/12/2019,1/11/2019,OnTime
ORD100021,1/8/2019,???,Electronics,Samsung Galaxy S22,832,5,upi,3789,Premiun,9,6,4160,1/14/2019,1/15/2019,Late
ORD100022,1/8/2019,North,Furniture,IKEA Bookshelf,1227,1,Card,9730,New,4,6,1227,1/14/2019,1/14/2019,OnTime
ORD100023,1/8/2019,East,Clothing,Levi's 511 Jeans,438,1,upi,5784,New,14,1,438,1/9/2019,1/11/2019,Late
ORD100024,1/9/2019,West,Books,Rich Dad Poor Dad,1321,3,Card,1718,Regular,9,2,3963,1/11/2019,1/12/2019,Late
ORD100025,1/9/2019,West,Toy,Barbie Dreamhouse,399,3,upi,8076,Regular,3,2,1197,1/11/2019,1/13/2019,Late
ORD100026,1/9/2019,West,Furniture,Sleepwell Mattress,1567,3,Cash,4995,Regular,15,7,4701,1/16/2019,1/17/2019,Late
ORD100027,1/10/2019,West,Electronics,Samsung Galaxy S22,458,4,Wallet,1305,Regular,5,1,1832,1/11/2019,1/12/2019,Late
ORD100028,1/10/2019,North,Electronics,Apple Watch SE,,2,Card,6430,Premiun,1,2,2982,1/12/2019,1/13/2019,Late
ORD100029,1/10/2019,South,Grocery,Tata Salt,268,3,Wallet,9579,New,11,Five,804,1/15/2019,1/15/2019,OnTime
ORD100030,1/11/2019,West,Grocery,Fortune Oil,1272,2,Card,9916,Premiun,19,1,2544,1/12/2019,1/13/2019,Late
ORD100031,1/11/2019,East,Clothing,H&M Jacket,860,2,Cash,9186,New,5,6,1720,1/17/2019,1/16/2019,OnTime
ORD100032,1/11/2019,East,Furniture,Godrej Office Chair,867,1,Cash,3596,Premiun,17,7,867,1/18/2019,1/20/2019,Late
ORD100033,1/12/2019,South,Furniture,Nilkamal Table,1081,5,Wallet,3435,New,19,7,5405,1/19/2019,1/21/2019,Late
ORD100034,1/12/2019,North,Books,Deep Work,141,5,Card,9370,Regular,17,Five,705,1/17/2019,1/19/2019,Late
ORD100035,1/12/2019,South,Books,Atomic Habits,301,4,upi,2903,New,5,4,1204,1/16/2019,1/17/2019,Late
ORD100036,1/13/2019,West,Books,Deep Work,1069,4,Card,4383,Regular,20,3,4276,1/16/2019,1/18/2019,Late
ORD100037,1/13/2019,North,Grocery,India Gate Basmati Rice,1367,5,upi,5175,New,9,6,6835,1/19/2019,1/18/2019,OnTime
ORD100038,1/13/2019,North,Furniture,Urban Ladder Sofa,,5,Wallet,8181,Premiun,6,6,8960,1/19/2019,1/18/2019,OnTime
ORD100039,1/14/2019,West,Furniture,Sleepwell Mattress,563,1,Wallet,5542,New,13,3,563,1/17/2019,1/16/2019,OnTime
ORD100040,1/14/2019,East,Electronics,Sony WH-1000XM4,548,1,Cash,6491,Premiun,11,3,548,1/17/2019,1/17/2019,OnTime
ORD100041,1/14/2019,West,Grocery,Amul Milk,1012,5,upi,9287,Premiun,1,1,5060,1/15/2019,1/14/2019,OnTime
ORD100042,1/15/2019,South,Toy,Hot Wheels Set,897,3,Card,2283,Regular,17,4,2691,1/19/2019,1/18/2019,OnTime
ORD100043,1/15/2019,West,Grocery,Parle-G Biscuits,893,3,Cash,1247,New,6,3,2679,1/18/2019,1/20/2019,Late
ORD100044,1/15/2019,East,Toy,Hot Wheels Set,536,1,Wallet,7642,Premiun,3,Five,536,1/20/2019,1/21/2019,Late
ORD100045,1/16/2019,West,Electronics,iPhone 13,1873,2,Cash,1981,New,16,6,3746,1/22/2019,1/24/2019,Late
ORD100046,1/16/2019,South,Clothing,Zara T-Shirt,630,5,Card,5363,Regular,13,3,3150,1/19/2019,1/19/2019,OnTime
ORD100047,1/16/2019,South,Furniture,Nilkamal Table,664,4,Card,2565,Regular,12,4,2656,1/20/2019,1/20/2019,OnTime
ORD100048,1/17/2019,East,NA,Dell XPS 13,1720,3,Wallet,3141,New,11,Five,5160,1/22/2019,1/22/2019,OnTime
ORD100049,1/17/2019,South,Furniture,IKEA Bookshelf,1396,2,Cash,1735,Premiun,2,Five,2792,1/22/2019,1/21/2019,OnTime
ORD100050,1/17/2019,South,Books,Atomic Habits,1553,3,upi,1448,Premiun,19,1,4659,1/18/2019,1/17/2019,OnTime
ORD100051,1/18/2019,West,Clothing,Zara T-Shirt,971,2,upi,8534,Premiun,8,1,1942,1/19/2019,1/18/2019,OnTime
ORD100052,1/18/2019,North,Clothing,Levi's 511 Jeans,312,5,upi,2835,New,13,2,1560,1/20/2019,1/21/2019,Late
ORD100053,1/18/2019,South,Electronics,Apple Watch SE,1048,5,Card,5715,Premiun,14,4,5240,1/22/2019,1/24/2019,Late
ORD100054,1/19/2019,South,Clothing,Levi's 511 Jeans,1996,5,Cash,1613,Premiun,15,7,9980,1/26/2019,1/25/2019,OnTime
ORD100055,1/19/2019,East,Toy,Hot Wheels Set,1227,1,upi,7234,Premiun,17,Five,1227,1/24/2019,1/24/2019,OnTime
ORD100056,1/19/2019,East,Clothing,Adidas Hoodie,291,2,Cash,6628,Regular,15,4,582,1/23/2019,1/24/2019,Late
ORD100057,1/20/2019,West,Furniture,Urban Ladder Sofa,1812,4,Wallet,1876,Premiun,10,3,7248,1/23/2019,1/24/2019,Late
ORD100058,1/20/2019,West,Furniture,Godrej Office Chair,1782,4,upi,1671,New,1,7,7128,1/27/2019,1/27/2019,OnTime
ORD100059,1/20/2019,South,Furniture,Nilkamal Table,1503,5,Cash,2630,New,12,6,7515,1/26/2019,1/25/2019,OnTime
ORD100060,1/21/2019,North,Furniture,IKEA Bookshelf,1204,4,Card,8439,Premiun,9,3,4816,1/24/2019,1/25/2019,Late
ORD100061,1/21/2019,North,Toy,NERF Gun,804,3,Wallet,1360,New,5,6,2412,1/27/2019,1/27/2019,OnTime
ORD100062,1/21/2019,West,Grocery,Tata Salt,648,2,Wallet,8373,New,15,2,1296,1/23/2019,1/22/2019,OnTime
ORD100063,1/22/2019,East,Books,The Psychology of Money,1500,2,Wallet,4901,Premiun,3,Five,3000,1/27/2019,1/28/2019,Late
ORD100064,1/22/2019,South,Electronics,iPhone 13,1961,2,Wallet,1797,Regular,19,6,3922,1/28/2019,1/29/2019,Late
ORD100065,1/22/2019,South,Furniture,Godrej Office Chair,253,3,Card,2783,Premiun,7,Five,759,1/27/2019,1/29/2019,Late
ORD100066,1/23/2019,North,Clothing,Nike Air Max,1765,1,Card,8051,New,7,6,1765,1/29/2019,1/31/2019,Late
ORD100067,1/23/2019,West,Furniture,Sleepwell Mattress,670,3,upi,1066,New,7,2,2010,1/25/2019,1/26/2019,Late
ORD100068,1/23/2019,North,Clothing,H&M Jacket,1859,2,Card,6677,Premiun,2,3,3718,1/26/2019,1/27/2019,Late
ORD100069,1/24/2019,North,Books,Rich Dad Poor Dad,,2,Card,3090,New,2,Five,3768,1/29/2019,1/30/2019,Late
ORD100070,1/24/2019,West,Books,Ikigai,339,2,Wallet,7070,Regular,12,7,678,1/31/2019,2/2/2019,Late
ORD100071,1/24/2019,East,Books,Rich Dad Poor Dad,473,4,Card,6932,Premiun,5,6,1892,1/30/2019,1/29/2019,OnTime
ORD100072,1/25/2019,South,Clothing,H&M Jacket,904,1,Wallet,9425,New,4,4,904,1/29/2019,1/31/2019,Late
ORD100073,1/25/2019,East,Furniture,Nilkamal Table,898,3,Cash,2055,Regular,7,Five,2694,1/30/2019,1/30/2019,OnTime
ORD100074,1/25/2019,West,Books,Atomic Habits,1327,2,Cash,7256,New,16,6,2654,1/31/2019,2/1/2019,Late
ORD100075,1/26/2019,West,Toy,Hot Wheels Set,710,5,Cash,4347,Regular,3,6,3550,2/1/2019,2/1/2019,OnTime
ORD100076,1/26/2019,South,Clothing,Adidas Hoodie,1473,1,Cash,5101,New,2,3,1473,1/29/2019,1/29/2019,OnTime
ORD100077,1/26/2019,East,Clothing,Adidas Hoodie,787,5,Cash,8507,Premiun,17,Five,3935,1/31/2019,1/31/2019,OnTime
ORD100078,1/27/2019,South,Furniture,Nilkamal Table,873,1,Cash,9685,New,9,Five,873,2/1/2019,2/3/2019,Late
ORD100079,1/27/2019,North,Clothing,Levi's 511 Jeans,1906,2,Cash,4179,Premiun,20,1,3812,1/28/2019,1/30/2019,Late
ORD100080,1/27/2019,North,Clothing,H&M Jacket,242,1,Wallet,7214,Regular,8,6,242,2/2/2019,2/1/2019,OnTime
ORD100081,1/28/2019,North,Books,The Psychology of Money,1312,1,Wallet,2363,Regular,12,Five,1312,2/2/2019,2/2/2019,OnTime
ORD100082,1/28/2019,East,Furniture,IKEA Bookshelf,371,2,Wallet,8267,New,7,6,742,2/3/2019,2/3/2019,OnTime
ORD100083,1/28/2019,North,Books,The Psychology of Money,1655,5,Wallet,2056,Premiun,14,2,8275,1/30/2019,2/1/2019,Late
ORD100084,1/29/2019,South,Books,Deep Work,1968,5,Card,1142,Premiun,16,2,9840,1/31/2019,1/31/2019,OnTime
ORD100085,1/29/2019,East,Furniture,Nilkamal Table,1423,4,Card,5831,Regular,1,4,5692,2/2/2019,2/4/2019,Late
ORD100086,1/29/2019,???,Electronics,iPhone 13,525,5,upi,8799,Regular,10,Five,2625,2/3/2019,2/4/2019,Late
ORD100087,1/30/2019,West,Books,The Psychology of Money,145,5,Card,3264,New,11,4,725,2/3/2019,2/4/2019,Late
ORD100088,1/30/2019,East,Toy,Monopoly Board Game,194,1,Wallet,2924,Regular,7,3,194,2/2/2019,2/2/2019,OnTime
ORD100089,1/30/2019,South,Toy,Barbie Dreamhouse,163,4,Wallet,3481,Regular,18,6,652,2/5/2019,2/4/2019,OnTime
ORD100090,1/31/2019,South,Clothing,H&M Jacket,512,2,Cash,7977,Premiun,19,3,1024,2/3/2019,2/5/2019,Late
ORD100091,1/31/2019,East,Toy,NERF Gun,1766,2,Cash,8896,Premiun,14,1,3532,2/1/2019,2/2/2019,Late
ORD100092,1/31/2019,???,Clothing,Zara T-Shirt,1132,3,upi,4125,Premiun,17,1,3396,2/1/2019,2/2/2019,Late
ORD100093,2/1/2019,East,Electronics,Sony WH-1000XM4,558,4,Card,8050,Regular,19,Five,2232,2/6/2019,2/6/2019,OnTime
ORD100094,2/1/2019,North,Furniture,IKEA Bookshelf,1838,1,Wallet,7011,New,13,Five,1838,2/6/2019,2/8/2019,Late
ORD100095,2/1/2019,North,Furniture,Godrej Office Chair,1532,3,Card,5150,New,3,4,4596,2/5/2019,2/5/2019,OnTime
ORD100096,2/2/2019,West,Furniture,Nilkamal Table,569,3,upi,8004,Regular,2,4,1707,2/6/2019,2/8/2019,Late
ORD100097,2/2/2019,South,Toy,Monopoly Board Game,909,2,Cash,2220,New,9,Five,1818,2/7/2019,2/6/2019,OnTime
ORD100098,2/2/2019,South,Electronics,Samsung Galaxy S22,605,5,Wallet,5661,Regular,7,7,3025,2/9/2019,2/11/2019,Late
ORD100099,2/3/2019,South,Toy,LEGO Classic,1809,1,Cash,5866,New,14,Five,1809,2/8/2019,2/9/2019,Late
ORD100100,2/3/2019,East,Toy,Monopoly Board Game,1196,4,Wallet,2797,Regular,5,1,4784,2/4/2019,2/4/2019,On-Time
ORD100101,2/3/2019,East,Electronics,Samsung Galaxy S22,183,3,Cash,6974,Premiun,20,1,549,2/4/2019,2/6/2019,Late
ORD100102,2/4/2019,West,NA,iPhone 13,158,1,Cash,3871,New,15,1,158,2/5/2019,2/6/2019,Late
ORD100103,2/4/2019,North,Electronics,iPhone 13,1144,2,upi,9705,Premiun,20,Five,2288,2/9/2019,2/9/2019,On-Time
ORD100104,2/4/2019,South,Electronics,Sony WH-1000XM4,1581,3,Card,2617,Premiun,1,4,4743,2/8/2019,2/8/2019,On-Time
ORD100105,2/5/2019,North,NA,Urban Ladder Sofa,1017,3,Cash,8005,New,20,2,3051,2/7/2019,2/6/2019,On-Time
ORD100106,2/5/2019,East,Grocery,Tata Salt,256,2,Wallet,7071,Regular,7,2,512,2/7/2019,2/8/2019,Late
ORD100107,2/5/2019,East,Grocery,India Gate Basmati Rice,1954,2,Card,5612,Premiun,5,4,3908,2/9/2019,2/11/2019,Late
ORD100108,2/6/2019,East,Electronics,Sony WH-1000XM4,1452,2,Card,4757,Premiun,4,4,2904,2/10/2019,2/11/2019,Late
ORD100109,2/6/2019,North,Grocery,Tata Salt,1696,1,Cash,3032,Regular,11,7,1696,2/13/2019,2/13/2019,On-Time
ORD100110,2/6/2019,West,Grocery,Tata Salt,675,1,Cash,9896,Regular,19,4,675,2/10/2019,2/9/2019,On-Time
ORD100111,2/7/2019,West,Electronics,Sony WH-1000XM4,936,1,Cash,5953,New,6,1,936,2/8/2019,2/10/2019,Late
ORD100112,2/7/2019,East,Grocery,Amul Milk,779,5,Card,5314,New,20,3,3895,2/10/2019,2/9/2019,On-Time
ORD100113,2/7/2019,South,Toy,Barbie Dreamhouse,302,3,upi,5663,Regular,18,7,906,2/14/2019,2/13/2019,On-Time
ORD100114,2/8/2019,North,Clothing,Nike Air Max,1764,1,Cash,8051,Premiun,5,Five,1764,2/13/2019,2/14/2019,Late
ORD100115,2/8/2019,East,Clothing,Levi's 511 Jeans,1880,5,Card,6632,Regular,20,1,9400,2/9/2019,2/9/2019,On-Time
ORD100116,2/8/2019,North,Electronics,Sony WH-1000XM4,1229,3,Card,6496,New,15,2,3687,2/10/2019,2/10/2019,On-Time
ORD100117,2/9/2019,North,Furniture,IKEA Bookshelf,1956,1,Wallet,1892,Premiun,20,Five,1956,2/14/2019,2/16/2019,Late
ORD100118,2/9/2019,West,Electronics,Sony WH-1000XM4,1245,2,Cash,1971,Premiun,6,4,2490,2/13/2019,2/12/2019,On-Time
ORD100119,2/9/2019,East,Furniture,Urban Ladder Sofa,417,4,upi,1102,New,4,6,1668,2/15/2019,2/14/2019,On-Time
ORD100120,2/10/2019,West,Clothing,Adidas Hoodie,1305,1,Wallet,7051,Premiun,17,7,1305,2/17/2019,2/16/2019,On-Time
ORD100121,2/10/2019,East,Electronics,iPhone 13,1738,4,Cash,6145,Regular,15,7,6952,2/17/2019,2/18/2019,Late
ORD100122,2/10/2019,North,Books,Deep Work,1439,1,Wallet,4246,New,18,2,1439,2/12/2019,2/12/2019,On-Time
ORD100123,2/11/2019,West,Toy,LEGO Classic,1937,2,Cash,6854,Premiun,6,4,3874,2/15/2019,2/14/2019,On-Time
ORD100124,2/11/2019,???,Grocery,Amul Milk,1896,4,Wallet,4712,New,20,6,7584,2/17/2019,2/16/2019,On-Time
ORD100125,2/11/2019,East,Furniture,IKEA Bookshelf,1748,5,upi,4417,Premiun,19,4,8740,2/15/2019,2/15/2019,On-Time
ORD100126,2/12/2019,South,Books,The Psychology of Money,505,2,Wallet,7445,Regular,12,4,1010,2/16/2019,2/18/2019,Late
ORD100127,2/12/2019,West,Grocery,India Gate Basmati Rice,1085,4,Wallet,6417,New,9,Five,4340,2/17/2019,2/18/2019,Late
ORD100128,2/12/2019,West,Grocery,India Gate Basmati Rice,1048,4,Wallet,5151,Premiun,8,2,4192,2/14/2019,2/15/2019,Late
ORD100129,2/13/2019,North,Electronics,iPhone 13,1193,2,Cash,7517,Regular,15,2,2386,2/15/2019,2/16/2019,Late
ORD100130,2/13/2019,North,Grocery,India Gate Basmati Rice,1283,2,Cash,4659,Regular,1,4,2566,2/17/2019,2/17/2019,On-Time
ORD100131,2/13/2019,South,Toy,Monopoly Board Game,1363,2,upi,8506,Regular,2,1,2726,2/14/2019,2/15/2019,Late
ORD100132,2/14/2019,West,Books,Ikigai,1646,3,Wallet,5552,Premiun,3,3,4938,2/17/2019,2/16/2019,On-Time
ORD100133,2/14/2019,East,Grocery,Tata Salt,1261,5,Card,6673,Premiun,19,6,6305,2/20/2019,2/21/2019,Late
ORD100134,2/14/2019,East,Electronics,Dell XPS 13,594,1,Wallet,3157,Regular,10,1,594,2/15/2019,2/15/2019,On-Time
ORD100135,2/15/2019,West,Toy,LEGO Classic,778,4,Card,1581,Regular,14,Five,3112,2/20/2019,2/21/2019,Late
ORD100136,2/15/2019,West,Clothing,Adidas Hoodie,1370,1,Card,1795,Regular,19,6,1370,2/21/2019,2/23/2019,Late
ORD100137,2/15/2019,West,Books,Ikigai,1989,2,Wallet,2883,Regular,11,3,3978,2/18/2019,2/20/2019,Late
ORD100138,2/16/2019,South,Grocery,Tata Salt,1666,5,Card,7044,Regular,6,1,8330,2/17/2019,2/17/2019,On-Time
ORD100139,2/16/2019,East,Electronics,iPhone 13,1647,5,Card,6220,Premiun,19,6,8235,2/22/2019,2/22/2019,On-Time
ORD100140,2/16/2019,East,Clothing,Adidas Hoodie,1366,3,Wallet,1572,New,14,7,4098,2/23/2019,2/25/2019,Late
ORD100141,2/17/2019,???,Clothing,Zara T-Shirt,1743,2,Cash,2206,New,8,2,3486,2/19/2019,2/20/2019,Late
ORD100142,2/17/2019,North,Furniture,Godrej Office Chair,1459,4,Wallet,4080,New,2,1,5836,2/18/2019,2/17/2019,On-Time
ORD100143,2/17/2019,West,Toy,LEGO Classic,1545,3,upi,3460,Premium,18,4,4635,2/21/2019,2/21/2019,On-Time
ORD100144,2/18/2019,North,Grocery,Parle-G Biscuits,934,2,Card,5005,New,4,Five,1868,2/23/2019,2/25/2019,Late
ORD100145,2/18/2019,South,Electronics,Samsung Galaxy S22,293,3,upi,5925,New,3,1,879,2/19/2019,2/20/2019,Late
ORD100146,2/18/2019,East,Furniture,IKEA Bookshelf,407,1,Card,3613,New,2,6,407,2/24/2019,2/24/2019,On-Time
ORD100147,2/19/2019,East,Toy,Barbie Dreamhouse,1768,2,Cash,2715,New,4,1,3536,2/20/2019,2/21/2019,Late
ORD100148,2/19/2019,North,Furniture,Urban Ladder Sofa,,4,Card,6245,Regular,18,6,2420,2/25/2019,2/24/2019,On-Time
ORD100149,2/19/2019,West,Books,Deep Work,380,4,Wallet,2569,Premium,11,3,1520,2/22/2019,2/22/2019,On-Time
ORD100150,2/20/2019,North,Toy,Monopoly Board Game,1926,2,Card,1676,New,9,4,3852,2/24/2019,2/23/2019,On-Time
ORD100151,2/20/2019,West,Toy,Hot Wheels Set,774,3,upi,3513,Regular,8,7,2322,2/27/2019,2/26/2019,On-Time
ORD100152,2/20/2019,South,Grocery,Amul Milk,1913,5,Wallet,9992,New,8,3,9565,2/23/2019,2/22/2019,On-Time
ORD100153,2/21/2019,East,Toy,Barbie Dreamhouse,1032,2,upi,4052,New,5,7,2064,2/28/2019,3/2/2019,Late
ORD100154,2/21/2019,South,Furniture,Nilkamal Table,1562,4,Cash,3031,New,13,Five,6248,2/26/2019,2/25/2019,On-Time
ORD100155,2/21/2019,East,Toy,Barbie Dreamhouse,814,1,upi,2508,New,7,Five,814,2/26/2019,2/25/2019,On-Time
ORD100156,2/22/2019,South,Grocery,Fortune Oil,707,4,upi,5329,New,5,6,2828,2/28/2019,3/1/2019,Late
ORD100157,2/22/2019,North,Grocery,Amul Milk,582,5,upi,1912,Regular,13,4,2910,2/26/2019,2/28/2019,Late
ORD100158,2/22/2019,South,Books,Deep Work,1346,4,Wallet,6243,New,20,3,5384,2/25/2019,2/27/2019,Late
ORD100159,2/23/2019,South,Furniture,Godrej Office Chair,1872,5,Cash,6322,Regular,16,4,9360,2/27/2019,3/1/2019,Late
ORD100160,2/23/2019,North,Clothing,Zara T-Shirt,216,2,Cash,2055,New,14,3,432,2/26/2019,2/28/2019,Late
ORD100161,2/23/2019,East,Clothing,H&M Jacket,1067,4,Cash,8630,Premium,5,6,4268,3/1/2019,2/28/2019,On-Time
ORD100162,2/24/2019,East,Toy,LEGO Classic,291,3,upi,8107,Regular,19,6,873,3/2/2019,3/3/2019,Late
ORD100163,2/24/2019,North,Books,Atomic Habits,887,3,Wallet,6670,New,4,6,2661,3/2/2019,3/1/2019,On-Time
ORD100164,2/24/2019,South,Electronics,Sony WH-1000XM4,717,4,Wallet,2750,Regular,11,2,2868,2/26/2019,2/25/2019,On-Time
ORD100165,2/25/2019,South,Toy,LEGO Classic,615,4,Wallet,8575,New,2,4,2460,3/1/2019,3/3/2019,Late
ORD100166,2/25/2019,South,Books,Ikigai,1653,1,upi,7387,New,13,7,1653,3/4/2019,3/6/2019,Late
ORD100167,2/25/2019,West,Furniture,IKEA Bookshelf,406,4,Cash,4012,Regular,16,Five,1624,3/2/2019,3/2/2019,On-Time
ORD100168,2/26/2019,East,Furniture,Urban Ladder Sofa,631,1,upi,4428,New,9,3,631,3/1/2019,3/2/2019,Late
ORD100169,2/26/2019,South,Furniture,Godrej Office Chair,221,1,Wallet,7463,New,16,2,221,2/28/2019,3/2/2019,Late
ORD100170,2/26/2019,East,Furniture,Sleepwell Mattress,748,1,upi,6138,New,7,Five,748,3/3/2019,3/5/2019,Late
ORD100171,2/27/2019,South,Furniture,Godrej Office Chair,691,1,Card,9548,New,16,3,691,3/2/2019,3/1/2019,On-Time
ORD100172,2/27/2019,North,Books,Ikigai,1277,2,Cash,7260,New,13,2,2554,3/1/2019,2/28/2019,On-Time
ORD100173,2/27/2019,North,Books,Rich Dad Poor Dad,969,3,Cash,6255,New,5,Five,2907,3/4/2019,3/3/2019,On-Time
ORD100174,2/28/2019,East,Grocery,Amul Milk,,1,Wallet,5391,Regular,15,Five,1660,3/5/2019,3/7/2019,Late
ORD100175,2/28/2019,East,Clothing,Adidas Hoodie,1575,3,upi,8547,Premium,7,2,4725,3/2/2019,3/3/2019,Late
ORD100176,2/28/2019,North,Furniture,Urban Ladder Sofa,1292,1,Wallet,8322,New,18,Five,1292,3/5/2019,3/7/2019,Late
ORD100177,3/1/2019,West,Electronics,Sony WH-1000XM4,158,3,upi,6224,Regular,20,3,474,3/4/2019,3/6/2019,Late
ORD100178,3/1/2019,North,Books,The Psychology of Money,400,4,Card,8951,Premium,2,7,1600,3/8/2019,3/9/2019,Late
ORD100179,3/1/2019,South,Electronics,Samsung Galaxy S22,652,4,Cash,2989,Regular,8,3,2608,3/4/2019,3/6/2019,Late
ORD100180,3/2/2019,West,Electronics,Apple Watch SE,1673,3,Cash,9720,Premium,10,Five,5019,3/7/2019,3/9/2019,Late
ORD100181,3/2/2019,North,Electronics,Sony WH-1000XM4,1240,1,upi,3604,Premium,10,1,1240,3/3/2019,3/4/2019,Late
ORD100182,3/2/2019,West,Grocery,Tata Salt,1910,2,Cash,3407,Premium,11,6,3820,3/8/2019,3/10/2019,Late
ORD100183,3/3/2019,West,Books,The Psychology of Money,1905,3,upi,1063,Regular,8,2,5715,3/5/2019,3/5/2019,On-Time
ORD100184,3/3/2019,West,Electronics,Samsung Galaxy S22,1250,5,Wallet,3812,Premium,16,1,6250,3/4/2019,3/4/2019,On-Time
ORD100185,3/3/2019,East,Furniture,IKEA Bookshelf,1528,2,Card,5027,New,16,3,3056,3/6/2019,3/5/2019,On-Time
ORD100186,3/4/2019,North,Toy,Hot Wheels Set,498,5,upi,1101,New,17,Five,2490,3/9/2019,3/11/2019,Late
ORD100187,3/4/2019,East,Electronics,Sony WH-1000XM4,614,3,Card,4135,Premium,6,4,1842,3/8/2019,3/9/2019,Late
ORD100188,3/4/2019,East,Grocery,Amul Milk,904,1,Wallet,2180,Premium,18,7,904,3/11/2019,3/12/2019,Late
ORD100189,3/5/2019,South,Books,The Psychology of Money,597,5,Wallet,6509,New,17,4,2985,3/9/2019,3/9/2019,On-Time
ORD100190,3/5/2019,South,Grocery,Fortune Oil,1041,3,Wallet,8530,Regular,12,6,3123,3/11/2019,3/10/2019,On-Time
ORD100191,3/5/2019,West,Electronics,Apple Watch SE,627,2,upi,3728,Regular,15,1,1254,3/6/2019,3/8/2019,Late
ORD100192,3/6/2019,West,Books,Ikigai,497,1,Card,8631,New,7,1,497,3/7/2019,3/8/2019,Late
ORD100193,3/6/2019,South,Toy,LEGO Classic,1388,5,Card,9590,Regular,14,1,6940,3/7/2019,3/8/2019,Late
ORD100194,3/6/2019,South,Electronics,Apple Watch SE,1874,3,Cash,1404,Regular,4,3,5622,3/9/2019,3/11/2019,Late
ORD100195,3/7/2019,North,Grocery,Fortune Oil,1386,1,upi,3873,Premium,17,6,1386,3/13/2019,3/12/2019,On-Time
ORD100196,3/7/2019,West,Clothing,Adidas Hoodie,1521,1,Cash,4268,Regular,11,7,1521,3/14/2019,3/14/2019,On-Time
ORD100197,3/7/2019,West,Furniture,Sleepwell Mattress,1769,4,Cash,3694,New,6,6,7076,3/13/2019,3/15/2019,Late
